y_test,y_pred
0.140261035,0.11282187
0.126785972,0.34758925
0.763410841,0.34758925
0.110142839,0.11428498
0.338664668,0.34758925
0.238881317,0.34758925
0.215848576,0.34758925
0.629443143,0.34758925
0.010004362,0.1932184
0.30879006,0.34758925
0.138290674,0.34758925
0.074048914,0.114163116
0.138279408,0.11497828
0.114193724,0.1135056
0.404539368,0.34758925
0.23456331,0.34758925
0.160621128,0.11477818
0.138447414,0.34758925
0.191041889,0.34758925
0.189226552,0.34758925
0.174097907,0.11384969
0.182008451,0.34758925
0.457337604,0.34758925
0.592964564,0.34758925
0.087577939,0.116829336
0.178332471,0.18970104
0.379949935,0.34758925
0.260923903,0.34758925
0.170610423,0.34758925
0.517917542,0.34758925
0.088635501,0.113687456
0.166367183,0.114818364
0.147036755,0.19351634
0.76003571,0.34758925
0.158317461,0.1131029
0.151506883,0.34758925
0.107159966,0.11628879
0.280289538,0.34758925
0.029210214,0.11526138
0.365049203,0.34758925
0.186689338,0.34758925
0.344594658,0.34758925
0.278677299,0.34758925
0.060347009,0.114843614
0.30947449,0.34758925
0.137245742,0.17902416
0.295500705,0.18602864
0.13871169,0.34758925
0.166754624,0.34758925
0.355072283,0.34758925
0.158183999,0.34758925
0.389046068,0.34758925
0.342086821,0.34758925
0.350488075,0.34758925
0.082655901,0.11523837
0.123612422,0.11406013
0.283466131,0.34758925
0.463497479,0.34758925
0.154842398,0.34758925
0.342551815,0.34758925
0.088614603,0.31571746
0.363983372,0.34758925
0.516428513,0.34758925
0.177933216,0.34758925
0.623236246,0.34758925
0.693389942,0.34758925
0.676974059,0.34758925
0.196807126,0.114133
0.233640726,0.34758925
0.303003317,0.34758925
0.350524647,0.34758925
0.087256191,0.17897034
0.26456331,0.34758925
0.116911363,0.1801733
0.114986507,0.11510481
0.114811714,0.11459588
0.135012631,0.34758925
0.14495278,0.11398284
0.182420791,0.34758925
0.423539276,0.34758925
0.49117773,0.34758925
0.22787052,0.34758925
0.108686932,0.11402868
0.605061834,0.34758925
0.111706786,0.11495766
0.056109809,0.11398486
0.331937487,0.34758925
0.053191405,0.11495843
0.090741704,0.11264762
0.142076371,0.34758925
0.147370318,0.34758925
0.181679297,0.34758925
0.426221708,0.34758925
0.137444279,0.34758925
0.090038754,0.11385786
0.333107811,0.34758925
0.161600519,0.114275135
0.149030394,0.34758925
0.637452547,0.34758925
0.111801646,0.34758925
0.415385763,0.34758925
0.105315253,0.11419619
0.279858072,0.34758925
0.123709311,0.1145098
0.284516288,0.34758925
0.44732193,0.34758925
0.503776567,0.34758925
0.115093846,0.22255898
0.083860162,0.11423236
0.28219872,0.34758925
0.601527782,0.34758925
0.266789015,0.34758925
0.109919952,0.11660502
0.065182665,0.115519665
0.167042236,0.113982074
0.131351509,0.11414762
0.211762892,0.34758925
0.417256191,0.34758925
0.20071796,0.34758925
0.16521883,0.1143832
0.157912317,0.34758925
0.135461951,0.34758925
0.219722231,0.17878023
